f1_macro	f1_micro	f1_weighted	f1_samples	precision_macro	precision_micro	precision_weighted	precision_samples	recall_macro	recall_micro	recall_weighted	recall_samples	jaccard_macro	jaccard_micro	jaccard_weighted	jaccard_samples	accuracy	fold	level	tn	fp	fn	tp
0.009624026306191545	0.01945754716981132	0.013151737832889357	0.009734126984126984	0.017988032909498877	0.3402061855670103	0.026013440277476693	0.01	0.007607611676585043	0.010015174506828529	0.010015174506828529	0.010533333333333332	0.005514150669009562	0.009824352485858886	0.007596935047931606	0.0074285714285714285	0.004	0	0	745750	5044	2363	360
0.03396794495597292	0.0887465690759378	0.06155710441816743	0.040931820570210664	0.04237613587060139	0.18012999071494892	0.10332652172035432	0.0494002553002553	0.042912614127289604	0.058877086494688924	0.058877086494688924	0.059733333333333326	0.020698426116952745	0.04643370033508856	0.03652226072616938	0.026971481296481293	0.003	0	1	735303	15491	2173	550
0.04773434651626829	0.08978898173063304	0.09417824452277995	0.047244297054852766	0.0619187968149429	0.08417419012214551	0.18506328861802115	0.059966212961779404	0.07206465201122905	0.09620637329286798	0.09620637329286798	0.09951666666666667	0.028169779323951004	0.047004744958481615	0.055123426543972856	0.029018496608950513	0.002	0	2	724677	26117	2103	620
0.0608483207484852	0.08677054689886954	0.12115804274210946	0.04777732349784714	0.06889469629996196	0.06529736358062538	0.19879977891717707	0.05736278615557008	0.1025512976868436	0.1292867981790592	0.1292867981790592	0.1321	0.03541252677881953	0.045352922389013096	0.0703054199464856	0.028702392582850175	0.002	0	3	717530	33264	2067	656
0.06385408388926662	0.08232526881720431	0.13158935561304594	0.046958089396286325	0.06445661929448737	0.05691717969566733	0.18930459554532572	0.05462150248361773	0.12300569885935043	0.14871016691957512	0.14871016691957512	0.15226666666666666	0.03700553977393716	0.04292973541265113	0.07605535962148577	0.027965052067567542	0.002	0	4	712724	38070	2041	682
0.06449853669087748	0.07948698829319216	0.13260639595834642	0.045472844952749523	0.05960124096239585	0.05268880980624753	0.17883715587965293	0.05115832708701181	0.1425354092213161	0.16176024279210927	0.16176024279210927	0.16471666666666665	0.03690076831813104	0.04138841435005436	0.07621099949930958	0.026893234744432996	0.002	0	5	709364	41430	2031	692
0.061640913430292925	0.07590759075907591	0.13199703380767527	0.04506818942054357	0.056083759448057345	0.04907102853586986	0.1821521679887248	0.048760086614478754	0.1486462130268219	0.16752655538694994	0.16752655538694994	0.17054999999999998	0.03477811675442559	0.03945111492281304	0.0751687700446791	0.02670251564741017	0.002	0	6	706676	44118	2020	703
0.06028835527938963	0.07306645938593082	0.12961908540371347	0.04334576185093776	0.05315217061422321	0.04644651239397184	0.1741097656412392	0.03869197492417479	0.15477516019607343	0.17116843702579665	0.17116843702579665	0.17396666666666666	0.03389835777630381	0.03791851553045583	0.07369260708803817	0.025412054406816417	0.001	0	7	704356	46438	2012	711
0.05873640723666095	0.071112252101919	0.12855251766688303	0.0417815062348189	0.052831575137331964	0.04509197460524174	0.17568250822576162	0.03633119770794589	0.14981613859105608	0.16813353566009104	0.16813353566009104	0.1718	0.03280098077247671	0.03686697278232515	0.07271815714164588	0.024402338143205943	0.001	0	8	702433	48361	2005	718
0.056468963439460194	0.06842669018965408	0.1265004352393307	0.03980737395212367	0.05012650866626583	0.04317748091603053	0.17340778758855144	0.03463977920476833	0.1489722618847352	0.16479514415781488	0.16479514415781488	0.16955	0.03121093552801888	0.03542536534446764	0.07102886869028815	0.023163795318264898	0.001	0	9	700588	50206	2003	720
0.0071310605124476215	0.019264448336252193	0.010812250086757185	0.009242857142857143	0.0163060939323395	0.25190839694656486	0.07904246345677644	0.008878571428571428	0.00719821673140825	0.010015174506828529	0.010015174506828529	0.0112	0.0042875540961838125	0.009725906277630416	0.006483666174106235	0.00613531746031746	0.002	1	0	745621	5173	2357	327
0.03804877869683995	0.08214120904476235	0.05449800581881397	0.028585642788583967	0.06916668792451681	0.17131857555341676	0.15995476213585175	0.022681310356310356	0.04451094940820528	0.054021244309559936	0.054021244309559936	0.05464999999999999	0.022883616672236408	0.04282964388835419	0.03230605214626324	0.018400253912753916	0.002	1	1	736996	13798	2204	480
0.05772411589464093	0.09157784116499025	0.09067570767919922	0.029974327789166304	0.08077005723080351	0.09061200237670826	0.2248730071989683	0.02241891228715913	0.08137983020325597	0.09256449165402124	0.09256449165402124	0.09256666666666666	0.03446577802583429	0.04798615481434865	0.053168090251504097	0.018157892202217044	0.002	1	2	727962	22832	2143	541
