fold	level	tn	fp	fn	tp
0	0	559277	6363	9469	3234
0	1	552865	12775	8437	4266
0	2	547750	17890	7973	4730
0	3	543850	21790	7690	5013
0	4	541469	24171	7535	5168
0	5	539947	25693	7431	5272
0	6	538925	26715	7362	5341
0	7	538194	27446	7321	5382
0	8	537655	27985	7283	5420
0	9	537259	28381	7248	5455
1	0	558924	6716	9409	3290
1	1	552901	12739	8445	4254
1	2	548085	17555	7936	4763
1	3	544376	21264	7647	5052
1	4	541990	23650	7488	5211
1	5	540218	25422	7392	5307
1	6	539088	26552	7327	5372
1	7	538138	27502	7271	5428
1	8	537413	28227	7227	5472
1	9	536834	28806	7189	5510
2	0	558987	6653	9364	3332
2	1	552508	13132	8418	4278
2	2	547320	18320	7922	4774
2	3	543886	21754	7658	5038
2	4	541948	23692	7522	5174
2	5	540927	24713	7437	5259
2	6	540155	25485	7369	5327
2	7	539602	26038	7314	5382
2	8	539191	26449	7286	5410
2	9	538672	26968	7241	5455
3	0	558845	6795	9257	3433
3	1	552872	12768	8385	4305
3	2	548063	17577	7892	4798
3	3	544264	21376	7630	5060
3	4	541681	23959	7454	5236
3	5	540194	25446	7358	5332
3	6	539218	26422	7289	5401
3	7	538444	27196	7257	5433
3	8	537816	27824	7216	5474
3	9	537389	28251	7183	5507
4	0	559385	6255	9391	3293
4	1	553221	12419	8441	4243
4	2	547981	17659	7919	4765
4	3	544346	21294	7632	5052
4	4	542108	23532	7478	5206
4	5	540525	25115	7389	5295
4	6	539526	26114	7316	5368
4	7	538834	26806	7278	5406
4	8	538385	27255	7242	5442
4	9	537958	27682	7218	5466
