fold	level	tn	fp	fn	tp
0	0	1126251	31792	1880	1744
0	1	1104591	53452	1645	1979
0	2	1089962	68081	1555	2069
0	3	1080795	77248	1515	2109
0	4	1074540	83503	1502	2122
0	5	1070126	87917	1497	2127
0	6	1066643	91400	1482	2142
0	7	1064048	93995	1469	2155
0	8	1062050	95993	1466	2158
0	9	1060187	97856	1459	2165
1	0	1127233	30810	1872	1716
1	1	1105157	52886	1620	1968
1	2	1090163	67880	1532	2056
1	3	1081890	76153	1494	2094
1	4	1075706	82337	1475	2113
1	5	1071818	86225	1465	2123
1	6	1069255	88788	1458	2130
1	7	1067184	90859	1453	2135
1	8	1065260	92783	1448	2140
1	9	1063771	94272	1445	2143
2	0	1127607	30436	1850	1701
2	1	1105795	52248	1586	1965
2	2	1091603	66440	1498	2053
2	3	1083790	74253	1458	2093
2	4	1078252	79791	1445	2106
2	5	1073824	84219	1435	2116
2	6	1070941	87102	1431	2120
2	7	1068422	89621	1427	2124
2	8	1066347	91696	1421	2130
2	9	1064698	93345	1418	2133
3	0	1126839	31204	1770	1745
3	1	1104710	53333	1523	1992
3	2	1090172	67871	1430	2085
3	3	1082078	75965	1395	2120
3	4	1076903	81140	1374	2141
3	5	1072164	85879	1362	2153
3	6	1069098	88945	1354	2161
3	7	1066429	91614	1350	2165
3	8	1064315	93728	1342	2173
3	9	1062422	95621	1339	2176
4	0	1126271	31772	1800	1684
4	1	1104348	53695	1561	1923
4	2	1088774	69269	1479	2005
4	3	1080944	77099	1442	2042
4	4	1076242	81801	1427	2057
4	5	1072545	85498	1417	2067
4	6	1069420	88623	1409	2075
4	7	1066849	91194	1399	2085
4	8	1064824	93219	1394	2090
4	9	1063229	94814	1392	2092
