fold	level	tn	fp	fn	tp
0	0	11450	151	105	34
0	1	11305	296	99	40
0	2	11205	396	92	47
0	3	11106	495	85	54
0	4	11020	581	83	56
0	5	10971	630	79	60
0	6	10931	670	78	61
0	7	10890	711	78	61
0	8	10860	741	78	61
0	9	10831	770	77	62
1	0	11433	168	96	38
1	1	11298	303	82	52
1	2	11211	390	79	55
1	3	11109	492	75	59
1	4	11019	582	72	62
1	5	10946	655	71	63
1	6	10877	724	71	63
1	7	10836	765	68	66
1	8	10805	796	68	66
1	9	10775	826	68	66
2	0	11434	167	98	33
2	1	11296	305	90	41
2	2	11195	406	83	48
2	3	11095	506	79	52
2	4	11025	576	75	56
2	5	10962	639	74	57
2	6	10905	696	72	59
2	7	10860	741	70	61
2	8	10827	774	69	62
2	9	10792	809	67	64
3	0	11431	170	88	39
3	1	11260	341	81	46
3	2	11111	490	79	48
3	3	11021	580	76	51
3	4	10953	648	74	53
3	5	10904	697	72	55
3	6	10859	742	72	55
3	7	10841	760	72	55
3	8	10821	780	72	55
3	9	10797	804	72	55
4	0	11438	163	94	29
4	1	11292	309	87	36
4	2	11173	428	80	43
4	3	11087	514	76	47
4	4	11022	579	74	49
4	5	10969	632	74	49
4	6	10913	688	71	52
4	7	10873	728	69	54
4	8	10844	757	68	55
4	9	10816	785	68	55
