fold	level	tn	fp	fn	tp
0	0	15239973	284925	50471	11187
0	1	14992899	531999	47718	13940
0	2	14807451	717447	46283	15375
0	3	14675471	849427	45304	16354
0	4	14586531	938367	44723	16935
0	5	14523130	1001768	44289	17369
0	6	14476757	1048141	43990	17668
0	7	14441857	1083041	43764	17894
0	8	14414313	1110585	43573	18085
0	9	14391947	1132951	43453	18205
1	0	15234713	290185	50323	11152
1	1	14989990	534908	47809	13666
1	2	14812724	712174	46523	14952
1	3	14690272	834626	45599	15876
1	4	14603697	921201	45012	16463
1	5	14539626	985272	44588	16887
1	6	14490446	1034452	44227	17248
1	7	14451989	1072909	43990	17485
1	8	14418719	1106179	43742	17733
1	9	14391807	1133091	43593	17882
2	0	15232116	292782	50226	11047
2	1	14980021	544877	47594	13679
2	2	14799149	725749	46173	15100
2	3	14677255	847643	45262	16011
2	4	14591064	933834	44650	16623
2	5	14527655	997243	44228	17045
2	6	14480198	1044700	43921	17352
2	7	14444120	1080778	43695	17578
2	8	14415501	1109397	43509	17764
2	9	14391551	1133347	43375	17898
3	0	15235494	289404	50073	10983
3	1	14989681	535217	47445	13611
3	2	14811342	713556	46073	14983
3	3	14685779	839119	45082	15974
3	4	14598234	926664	44441	16615
3	5	14535291	989607	43970	17086
3	6	14487298	1037600	43660	17396
3	7	14449841	1075057	43422	17634
3	8	14419572	1105326	43255	17801
3	9	14394812	1130086	43104	17952
4	0	15237304	287594	49821	11034
4	1	14987410	537488	47198	13657
4	2	14803475	721423	45695	15160
4	3	14676961	847937	44722	16133
4	4	14590334	934564	44172	16683
4	5	14528231	996667	43789	17066
4	6	14480401	1044497	43480	17375
4	7	14443082	1081816	43216	17639
4	8	14413672	1111226	43012	17843
4	9	14389343	1135555	42870	17985
