fold	level	tn	fp	fn	tp
0	0	11791	66	279	241
0	1	11731	126	246	274
0	2	11699	158	229	291
0	3	11675	182	216	304
0	4	11661	196	211	309
0	5	11653	204	207	313
0	6	11643	214	205	315
0	7	11635	222	203	317
0	8	11629	228	199	321
0	9	11622	235	196	324
1	0	11789	68	286	233
1	1	11731	126	238	281
1	2	11699	158	224	295
1	3	11686	171	217	302
1	4	11675	182	215	304
1	5	11661	196	214	305
1	6	11654	203	213	306
1	7	11643	214	213	306
1	8	11631	226	212	307
1	9	11627	230	211	308
2	0	11797	60	281	236
2	1	11734	123	238	279
2	2	11699	158	227	290
2	3	11679	178	220	297
2	4	11671	186	220	297
2	5	11651	206	212	305
2	6	11642	215	207	310
2	7	11632	225	202	315
2	8	11620	237	201	316
2	9	11611	246	199	318
3	0	11778	79	284	231
3	1	11728	129	250	265
3	2	11697	160	235	280
3	3	11683	174	231	284
3	4	11674	183	227	288
3	5	11664	193	226	289
3	6	11653	204	225	290
3	7	11643	214	224	291
3	8	11636	221	219	296
3	9	11627	230	218	297
4	0	11784	73	285	229
4	1	11719	138	256	258
4	2	11680	177	246	268
4	3	11663	194	238	276
4	4	11645	212	231	283
4	5	11638	219	229	285
4	6	11626	231	226	288
4	7	11623	234	223	291
4	8	11615	242	220	294
4	9	11610	247	219	295
