fold	level	tn	fp	fn	tp
0	0	561536	4104	10533	2170
0	1	558269	7371	10063	2640
0	2	555031	10609	9815	2888
0	3	551577	14063	9631	3072
0	4	548540	17100	9470	3233
0	5	545655	19985	9372	3331
0	6	542958	22682	9285	3418
0	7	540310	25330	9198	3505
0	8	538184	27456	9145	3558
0	9	536023	29617	9093	3610
1	0	561907	3733	10515	2184
1	1	558361	7279	9971	2728
1	2	555376	10264	9667	3032
1	3	551758	13882	9480	3219
1	4	548320	17320	9368	3331
1	5	545339	20301	9282	3417
1	6	542827	22813	9211	3488
1	7	540579	25061	9156	3543
1	8	538594	27046	9115	3584
1	9	536767	28873	9080	3619
2	0	561674	3966	10608	2088
2	1	558374	7266	10130	2566
2	2	555184	10456	9841	2855
2	3	551438	14202	9608	3088
2	4	548059	17581	9469	3227
2	5	545052	20588	9348	3348
2	6	541908	23732	9272	3424
2	7	538798	26842	9214	3482
2	8	536885	28755	9169	3527
2	9	535608	30032	9123	3573
3	0	561675	3965	10538	2152
3	1	558285	7355	10062	2628
3	2	554937	10703	9788	2902
3	3	551115	14525	9632	3058
3	4	548057	17583	9494	3196
3	5	545474	20166	9407	3283
3	6	542690	22950	9324	3366
3	7	540615	25025	9280	3410
3	8	538647	26993	9234	3456
3	9	536896	28744	9198	3492
4	0	561925	3715	10545	2139
4	1	558541	7099	10051	2633
4	2	555560	10080	9734	2950
4	3	551818	13822	9551	3133
4	4	548690	16950	9417	3267
4	5	546265	19375	9334	3350
4	6	543853	21787	9259	3425
4	7	541704	23936	9211	3473
4	8	539357	26283	9166	3518
4	9	537222	28418	9137	3547
