fold	level	tn	fp	fn	tp
0	0	561532	4108	10525	2178
0	1	558015	7625	10060	2643
0	2	554749	10891	9773	2930
0	3	551100	14540	9614	3089
0	4	548185	17455	9504	3199
0	5	545700	19940	9384	3319
0	6	543409	22231	9293	3410
0	7	541050	24590	9219	3484
0	8	539002	26638	9154	3549
0	9	537049	28591	9108	3595
1	0	561959	3681	10529	2170
1	1	558353	7287	10058	2641
1	2	555374	10266	9736	2963
1	3	551785	13855	9536	3163
1	4	548190	17450	9382	3317
1	5	545576	20064	9295	3404
1	6	543070	22570	9224	3475
1	7	540667	24973	9158	3541
1	8	538821	26819	9119	3580
1	9	537105	28535	9081	3618
2	0	561694	3946	10610	2086
2	1	558438	7202	10135	2561
2	2	555430	10210	9875	2821
2	3	551666	13974	9644	3052
2	4	548187	17453	9488	3208
2	5	545349	20291	9388	3308
2	6	542607	23033	9332	3364
2	7	540148	25492	9266	3430
2	8	538038	27602	9225	3471
2	9	536240	29400	9178	3518
3	0	561841	3799	10553	2137
3	1	558393	7247	10084	2606
3	2	555363	10277	9773	2917
3	3	551712	13928	9597	3093
3	4	548287	17353	9483	3207
3	5	545492	20148	9377	3313
3	6	543161	22479	9326	3364
3	7	540733	24907	9279	3411
3	8	538929	26711	9232	3458
3	9	537196	28444	9192	3498
4	0	561935	3705	10556	2128
4	1	558282	7358	10042	2642
4	2	555160	10480	9792	2892
4	3	551757	13883	9607	3077
4	4	549076	16564	9485	3199
4	5	546922	18718	9403	3281
4	6	544788	20852	9350	3334
4	7	542306	23334	9259	3425
4	8	540110	25530	9215	3469
4	9	537935	27705	9179	3505
