fold	level	tn	fp	fn	tp
0	0	23555	42	1927	127
0	1	23420	177	1833	221
0	2	23346	251	1781	273
0	3	23298	299	1754	300
0	4	23272	325	1732	322
0	5	23256	341	1726	328
0	6	23247	350	1720	334
0	7	23240	357	1718	336
0	8	23235	362	1714	340
0	9	23227	370	1714	340
1	0	23533	64	1921	132
1	1	23393	204	1845	208
1	2	23299	298	1807	246
1	3	23263	334	1775	278
1	4	23239	358	1743	310
1	5	23214	383	1731	322
1	6	23195	402	1722	331
1	7	23186	411	1712	341
1	8	23180	417	1703	350
1	9	23173	424	1699	354
2	0	23540	57	1943	106
2	1	23450	147	1835	214
2	2	23365	232	1785	264
2	3	23334	263	1762	287
2	4	23317	280	1741	308
2	5	23297	300	1731	318
2	6	23279	318	1722	327
2	7	23267	330	1713	336
2	8	23262	335	1703	346
2	9	23253	344	1698	351
3	0	23530	67	1908	136
3	1	23404	193	1823	221
3	2	23315	282	1789	255
3	3	23276	321	1757	287
3	4	23257	340	1741	303
3	5	23239	358	1727	317
3	6	23223	374	1712	332
3	7	23211	386	1700	344
3	8	23201	396	1695	349
3	9	23193	404	1692	352
4	0	23529	68	1936	105
4	1	23430	167	1842	199
4	2	23375	222	1803	238
4	3	23347	250	1778	263
4	4	23324	273	1761	280
4	5	23302	295	1749	292
4	6	23288	309	1738	303
4	7	23273	324	1730	311
4	8	23263	334	1726	315
4	9	23252	345	1713	328
