dataset	estimator	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
Corel5k	embedding	<b>267.63 (8.62)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	21.09 (2.73)	0.4 (0.28)	0.0 (0.0)	0.0 (0.0)	0.6 (0.37)	0.4 (0.55)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.01)	0.24 (0.09)	0.0 (0.0)	0.4 (0.55)	0.52 (0.44)	0.4 (0.55)	0.0 (0.0)	0.28 (0.18)	0.0 (0.0)	0.05 (0.08)	0.4 (0.28)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)	0.0 (0.0)	0.2 (0.0)	0.0 (0.0)
Corel5k	embedding_weak	324.86 (8.13)	0.88 (0.11)	0.4 (0.55)	24.74 (1.85)	0.84 (0.22)	0.6 (0.55)	0.0 (0.0)	0.62 (0.35)	0.2 (0.45)	<b>0.02 (0.0)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.56 (0.17)</b>	<b>0.0 (0.0)</b>	0.02 (0.01)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.14)	0.0 (0.0)	0.05 (0.03)	0.4 (0.14)	0.0 (0.0)	<b>0.04 (0.02)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.02)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.02)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.02)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>
Corel5k	embedding_weak_chi2	326.79 (10.89)	0.92 (0.11)	0.6 (0.55)	25.79 (2.31)	0.88 (0.11)	0.4 (0.55)	0.0 (0.0)	0.52 (0.29)	0.2 (0.45)	<b>0.02 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.0)</b>	<b>0.64 (0.17)</b>	<b>0.0 (0.0)</b>	0.02 (0.0)	0.44 (0.22)	0.0 (0.0)	<b>0.0 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.05 (0.02)	0.44 (0.17)	0.0 (0.0)	<b>0.04 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>
Corel5k	proba	<b>182.58 (6.13)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	22.17 (0.61)	0.4 (0.14)	0.0 (0.0)	0.0 (0.0)	0.64 (0.3)	0.2 (0.45)	0.01 (0.0)	0.4 (0.0)	0.0 (0.0)	<b>0.1 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.08 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.07 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	<b>0.05 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.06 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.04 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.56 (0.26)</b>	<b>0.0 (0.0)</b>	0.39 (0.01)	0.92 (0.11)	0.6 (0.55)	<b>0.17 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.13 (0.02)</b>	<b>0.76 (0.09)</b>	<b>0.0 (0.0)</b>	0.01 (0.0)	0.4 (0.0)	0.0 (0.0)	<b>0.06 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.06 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.06 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>
Corel5k	proba_weak	<b>248.6 (8.05)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	22.8 (0.83)	0.48 (0.23)	0.0 (0.0)	0.0 (0.0)	0.62 (0.2)	0.0 (0.0)	<b>0.06 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.07 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.05 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.13 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.03 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.04 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.08 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.06 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	0.05 (0.0)	0.72 (0.11)	0.0 (0.0)	<b>0.06 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.18 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.14 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.16 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.16 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.16 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>
all_datasets	embedding	0.62 (0.16)	0.62 (0.18)	0.08 (0.28)	0.7 (0.16)	0.71 (0.24)	0.15 (0.38)	<b>0.59 (0.22)</b>	<b>0.6 (0.28)</b>	<b>0.08 (0.28)</b>	0.26 (0.08)	0.25 (0.09)	0.0 (0.0)	0.36 (0.25)	0.34 (0.26)	0.08 (0.28)	0.43 (0.22)	0.39 (0.23)	0.0 (0.0)	0.27 (0.09)	0.25 (0.09)	0.0 (0.0)	0.26 (0.08)	0.25 (0.09)	0.0 (0.0)	0.36 (0.25)	0.34 (0.26)	0.08 (0.28)	0.45 (0.22)	0.42 (0.24)	0.0 (0.0)	0.29 (0.11)	0.26 (0.1)	0.0 (0.0)	0.4 (0.25)	0.42 (0.29)	0.08 (0.28)	<b>0.84 (0.2)</b>	<b>0.86 (0.21)</b>	<b>0.62 (0.51)</b>	0.57 (0.3)	0.52 (0.32)	0.15 (0.38)	0.44 (0.25)	0.43 (0.3)	0.08 (0.28)	0.25 (0.08)	0.23 (0.08)	0.0 (0.0)	0.26 (0.09)	0.23 (0.08)	0.0 (0.0)	0.28 (0.1)	0.25 (0.09)	0.0 (0.0)	0.26 (0.09)	0.23 (0.08)	0.0 (0.0)
all_datasets	embedding_weak	0.82 (0.12)	0.79 (0.12)	0.15 (0.38)	0.77 (0.14)	0.79 (0.23)	0.31 (0.48)	<b>0.52 (0.17)</b>	<b>0.52 (0.27)</b>	<b>0.15 (0.38)</b>	<b>0.6 (0.14)</b>	<b>0.58 (0.13)</b>	<b>0.0 (0.0)</b>	0.52 (0.15)	0.52 (0.18)	0.0 (0.0)	0.49 (0.16)	0.51 (0.21)	0.08 (0.28)	0.54 (0.13)	0.51 (0.13)	0.0 (0.0)	<b>0.59 (0.14)</b>	<b>0.59 (0.14)</b>	<b>0.0 (0.0)</b>	0.52 (0.15)	0.52 (0.18)	0.0 (0.0)	0.48 (0.16)	0.49 (0.23)	0.08 (0.28)	0.54 (0.13)	0.54 (0.19)	0.0 (0.0)	0.53 (0.12)	0.46 (0.14)	0.0 (0.0)	0.45 (0.15)	0.42 (0.2)	0.0 (0.0)	0.52 (0.21)	0.55 (0.27)	0.15 (0.38)	<b>0.51 (0.12)</b>	<b>0.5 (0.2)</b>	<b>0.0 (0.0)</b>	<b>0.65 (0.15)</b>	<b>0.68 (0.19)</b>	<b>0.08 (0.28)</b>	<b>0.6 (0.14)</b>	<b>0.62 (0.19)</b>	<b>0.0 (0.0)</b>	<b>0.6 (0.14)</b>	<b>0.62 (0.2)</b>	<b>0.0 (0.0)</b>	<b>0.6 (0.14)</b>	<b>0.62 (0.19)</b>	<b>0.0 (0.0)</b>
all_datasets	embedding_weak_chi2	0.86 (0.13)	0.89 (0.18)	0.62 (0.51)	0.77 (0.09)	0.78 (0.16)	0.23 (0.44)	0.49 (0.13)	0.42 (0.2)	0.08 (0.28)	<b>0.58 (0.14)</b>	<b>0.58 (0.16)</b>	<b>0.0 (0.0)</b>	0.5 (0.12)	0.48 (0.14)	0.0 (0.0)	0.45 (0.13)	0.41 (0.14)	0.0 (0.0)	0.56 (0.11)	0.6 (0.14)	0.0 (0.0)	<b>0.59 (0.13)</b>	<b>0.58 (0.15)</b>	<b>0.0 (0.0)</b>	0.5 (0.12)	0.48 (0.14)	0.0 (0.0)	0.44 (0.12)	0.41 (0.12)	0.0 (0.0)	0.55 (0.09)	0.54 (0.13)	0.0 (0.0)	<b>0.58 (0.15)</b>	<b>0.65 (0.23)</b>	<b>0.08 (0.28)</b>	0.45 (0.16)	0.47 (0.2)	0.08 (0.28)	0.47 (0.16)	0.47 (0.18)	0.0 (0.0)	<b>0.53 (0.14)</b>	<b>0.56 (0.2)</b>	<b>0.0 (0.0)</b>	0.6 (0.11)	0.57 (0.11)	0.0 (0.0)	<b>0.59 (0.12)</b>	<b>0.58 (0.13)</b>	<b>0.0 (0.0)</b>	0.59 (0.11)	0.57 (0.1)	0.0 (0.0)	<b>0.59 (0.12)</b>	<b>0.58 (0.13)</b>	<b>0.0 (0.0)</b>
all_datasets	proba	<b>0.25 (0.17)</b>	<b>0.25 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.37 (0.1)</b>	<b>0.35 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.29)</b>	<b>0.78 (0.35)</b>	<b>0.69 (0.48)</b>	<b>0.61 (0.27)</b>	<b>0.62 (0.29)</b>	<b>0.15 (0.38)</b>	<b>0.8 (0.24)</b>	<b>0.8 (0.26)</b>	<b>0.46 (0.52)</b>	<b>0.81 (0.23)</b>	<b>0.85 (0.25)</b>	<b>0.62 (0.51)</b>	<b>0.69 (0.25)</b>	<b>0.69 (0.29)</b>	<b>0.23 (0.44)</b>	<b>0.61 (0.27)</b>	<b>0.62 (0.29)</b>	<b>0.15 (0.38)</b>	<b>0.8 (0.24)</b>	<b>0.8 (0.26)</b>	<b>0.46 (0.52)</b>	<b>0.8 (0.24)</b>	<b>0.83 (0.24)</b>	<b>0.46 (0.52)</b>	<b>0.7 (0.25)</b>	<b>0.71 (0.28)</b>	<b>0.23 (0.44)</b>	<b>0.68 (0.25)</b>	<b>0.68 (0.29)</b>	<b>0.31 (0.48)</b>	<b>0.79 (0.19)</b>	<b>0.81 (0.18)</b>	<b>0.31 (0.48)</b>	0.8 (0.29)	0.78 (0.32)	0.62 (0.51)	<b>0.78 (0.22)</b>	<b>0.78 (0.27)</b>	<b>0.46 (0.52)</b>	0.55 (0.24)	0.55 (0.24)	0.08 (0.28)	<b>0.63 (0.25)</b>	<b>0.62 (0.26)</b>	<b>0.15 (0.38)</b>	<b>0.62 (0.27)</b>	<b>0.62 (0.3)</b>	<b>0.23 (0.44)</b>	<b>0.63 (0.25)</b>	<b>0.62 (0.26)</b>	<b>0.15 (0.38)</b>
all_datasets	proba_weak	<b>0.45 (0.17)</b>	<b>0.45 (0.17)</b>	<b>0.08 (0.28)</b>	<b>0.38 (0.17)</b>	<b>0.37 (0.24)</b>	<b>0.08 (0.28)</b>	<b>0.67 (0.13)</b>	<b>0.67 (0.15)</b>	<b>0.0 (0.0)</b>	0.95 (0.06)	0.97 (0.08)	0.85 (0.38)	<b>0.81 (0.15)</b>	<b>0.86 (0.15)</b>	<b>0.46 (0.52)</b>	<b>0.82 (0.11)</b>	<b>0.85 (0.12)</b>	<b>0.31 (0.48)</b>	<b>0.94 (0.07)</b>	<b>0.95 (0.09)</b>	<b>0.77 (0.44)</b>	0.95 (0.06)	0.97 (0.08)	0.85 (0.38)	<b>0.81 (0.15)</b>	<b>0.86 (0.15)</b>	<b>0.46 (0.52)</b>	<b>0.83 (0.1)</b>	<b>0.85 (0.11)</b>	<b>0.23 (0.44)</b>	<b>0.92 (0.09)</b>	<b>0.95 (0.09)</b>	<b>0.77 (0.44)</b>	<b>0.81 (0.18)</b>	<b>0.8 (0.26)</b>	<b>0.46 (0.52)</b>	0.47 (0.21)	0.45 (0.25)	0.0 (0.0)	0.65 (0.19)	0.68 (0.19)	0.08 (0.28)	<b>0.73 (0.19)</b>	<b>0.72 (0.27)</b>	<b>0.31 (0.48)</b>	<b>0.94 (0.07)</b>	<b>0.97 (0.08)</b>	<b>0.85 (0.38)</b>	0.92 (0.1)	0.96 (0.08)	0.77 (0.44)	<b>0.92 (0.1)</b>	<b>0.95 (0.09)</b>	<b>0.69 (0.48)</b>	0.92 (0.1)	0.96 (0.08)	0.77 (0.44)
