	embedding_proba__1	embedding_proba__10	embedding_proba__2	embedding_proba__3	embedding_proba__4	embedding_proba__5	embedding_proba__6	embedding_proba__7	embedding_proba__8	embedding_proba__9
embedding_proba__1	1.0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
embedding_proba__10	0.125	1.0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
embedding_proba__2	0.125	0.125	1.0	0.125	0.125	0.125	0.125	0.125	0.125	0.125
embedding_proba__3	0.125	0.125	0.125	1.0	0.125	0.125	0.125	0.125	0.125	0.125
embedding_proba__4	0.125	0.125	0.125	0.125	1.0	0.125	0.125	0.125	0.125	0.125
embedding_proba__5	0.125	0.125	0.125	0.125	0.125	1.0	0.125	0.125	0.125	0.125
embedding_proba__6	0.125	0.125	0.125	0.125	0.125	0.125	1.0	0.125	0.125	0.125
embedding_proba__7	0.125	0.125	0.125	0.125	0.125	0.125	0.125	1.0	0.125	0.125
embedding_proba__8	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	1.0	0.125
embedding_proba__9	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	1.0
