dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
Gram_positive	embedding_proba__1	3.89 (0.18)	0.1 (0.0)	0.0 (0.0)	3.27 (0.18)	0.1 (0.0)	0.0 (0.0)	0.62 (0.02)	0.1 (0.0)	0.0 (0.0)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)	0.79 (0.11)	0.48 (0.41)	0.2 (0.45)	0.92 (0.02)	0.36 (0.4)	0.2 (0.45)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)	0.92 (0.03)	0.38 (0.41)	0.2 (0.45)	0.73 (0.1)	0.46 (0.42)	0.2 (0.45)	0.86 (0.04)	0.36 (0.4)	0.2 (0.45)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)	0.86 (0.04)	0.36 (0.38)	0.2 (0.45)	0.85 (0.15)	0.52 (0.34)	0.2 (0.45)	0.94 (0.02)	0.42 (0.37)	0.2 (0.45)	0.92 (0.03)	0.36 (0.4)	0.2 (0.45)	0.93 (0.02)	0.48 (0.36)	0.2 (0.45)	0.77 (0.09)	0.46 (0.38)	0.0 (0.0)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)	0.91 (0.03)	0.34 (0.39)	0.2 (0.45)
Gram_positive	embedding_proba__10	26.62 (0.33)	1.0 (0.0)	1.0 (0.0)	22.82 (0.31)	1.0 (0.0)	1.0 (0.0)	3.8 (0.05)	1.0 (0.0)	1.0 (0.0)	0.92 (0.02)	0.58 (0.3)	0.2 (0.45)	0.79 (0.04)	0.56 (0.26)	0.0 (0.0)	0.93 (0.01)	0.6 (0.26)	0.0 (0.0)	0.93 (0.02)	0.64 (0.27)	0.0 (0.0)	0.92 (0.01)	0.62 (0.19)	0.0 (0.0)	0.72 (0.03)	0.52 (0.28)	0.0 (0.0)	0.87 (0.02)	0.61 (0.25)	0.0 (0.0)	0.92 (0.02)	0.62 (0.29)	0.2 (0.45)	0.88 (0.02)	0.58 (0.25)	0.0 (0.0)	0.9 (0.11)	0.64 (0.27)	0.0 (0.0)	0.95 (0.01)	0.61 (0.24)	0.0 (0.0)	0.93 (0.02)	0.64 (0.27)	0.0 (0.0)	0.94 (0.02)	0.54 (0.29)	0.0 (0.0)	0.76 (0.02)	0.54 (0.25)	0.0 (0.0)	0.92 (0.02)	0.58 (0.3)	0.2 (0.45)	0.92 (0.02)	0.62 (0.29)	0.2 (0.45)	0.92 (0.02)	0.58 (0.3)	0.2 (0.45)
Gram_positive	embedding_proba__2	7.02 (0.06)	0.2 (0.0)	0.0 (0.0)	6.05 (0.06)	0.2 (0.0)	0.0 (0.0)	0.97 (0.02)	0.2 (0.0)	0.0 (0.0)	0.92 (0.02)	0.56 (0.29)	0.0 (0.0)	0.79 (0.09)	0.56 (0.41)	0.4 (0.55)	0.93 (0.02)	0.56 (0.36)	0.2 (0.45)	0.92 (0.02)	0.54 (0.34)	0.2 (0.45)	0.93 (0.03)	0.56 (0.4)	0.4 (0.55)	0.72 (0.08)	0.56 (0.41)	0.4 (0.55)	0.87 (0.03)	0.55 (0.37)	0.2 (0.45)	0.92 (0.02)	0.53 (0.33)	0.0 (0.0)	0.88 (0.03)	0.56 (0.4)	0.4 (0.55)	0.83 (0.14)	0.42 (0.38)	0.2 (0.45)	0.95 (0.02)	0.55 (0.33)	0.2 (0.45)	0.92 (0.03)	0.54 (0.34)	0.2 (0.45)	0.94 (0.03)	0.56 (0.38)	0.2 (0.45)	0.77 (0.08)	0.58 (0.4)	0.4 (0.55)	0.92 (0.02)	0.55 (0.32)	0.0 (0.0)	0.92 (0.02)	0.53 (0.33)	0.0 (0.0)	0.92 (0.02)	0.55 (0.32)	0.0 (0.0)
Gram_positive	embedding_proba__3	9.6 (0.31)	0.3 (0.0)	0.0 (0.0)	8.28 (0.33)	0.3 (0.0)	0.0 (0.0)	1.32 (0.04)	0.3 (0.0)	0.0 (0.0)	0.92 (0.02)	0.58 (0.31)	0.0 (0.0)	0.8 (0.07)	0.64 (0.3)	0.2 (0.45)	0.93 (0.02)	0.59 (0.33)	0.2 (0.45)	0.92 (0.01)	0.54 (0.3)	0.0 (0.0)	0.93 (0.02)	0.6 (0.36)	0.2 (0.45)	0.73 (0.06)	0.62 (0.33)	0.2 (0.45)	0.87 (0.03)	0.59 (0.33)	0.2 (0.45)	0.92 (0.02)	0.56 (0.3)	0.0 (0.0)	0.88 (0.03)	0.62 (0.36)	0.2 (0.45)	0.91 (0.12)	0.66 (0.27)	0.2 (0.45)	0.95 (0.02)	0.55 (0.37)	0.2 (0.45)	0.92 (0.01)	0.51 (0.29)	0.0 (0.0)	0.95 (0.03)	0.62 (0.31)	0.2 (0.45)	0.77 (0.05)	0.64 (0.3)	0.2 (0.45)	0.92 (0.02)	0.57 (0.3)	0.0 (0.0)	0.92 (0.02)	0.56 (0.3)	0.0 (0.0)	0.92 (0.02)	0.57 (0.3)	0.0 (0.0)
Gram_positive	embedding_proba__4	11.47 (0.41)	0.4 (0.0)	0.0 (0.0)	9.83 (0.48)	0.4 (0.0)	0.0 (0.0)	1.64 (0.09)	0.4 (0.0)	0.0 (0.0)	0.92 (0.03)	0.49 (0.4)	0.2 (0.45)	0.79 (0.06)	0.56 (0.19)	0.0 (0.0)	0.93 (0.02)	0.49 (0.32)	0.0 (0.0)	0.92 (0.03)	0.5 (0.38)	0.0 (0.0)	0.92 (0.02)	0.5 (0.32)	0.0 (0.0)	0.72 (0.05)	0.58 (0.16)	0.0 (0.0)	0.87 (0.04)	0.49 (0.32)	0.0 (0.0)	0.92 (0.03)	0.49 (0.4)	0.0 (0.0)	0.88 (0.04)	0.48 (0.36)	0.0 (0.0)	0.88 (0.11)	0.58 (0.18)	0.0 (0.0)	0.95 (0.01)	0.54 (0.29)	0.0 (0.0)	0.93 (0.02)	0.51 (0.38)	0.0 (0.0)	0.94 (0.02)	0.56 (0.21)	0.0 (0.0)	0.76 (0.05)	0.56 (0.24)	0.0 (0.0)	0.92 (0.03)	0.49 (0.42)	0.2 (0.45)	0.92 (0.03)	0.49 (0.4)	0.0 (0.0)	0.92 (0.03)	0.49 (0.42)	0.2 (0.45)
Gram_positive	embedding_proba__5	14.16 (0.45)	0.5 (0.0)	0.0 (0.0)	12.16 (0.51)	0.5 (0.0)	0.0 (0.0)	2.0 (0.07)	0.5 (0.0)	0.0 (0.0)	0.93 (0.01)	0.74 (0.16)	0.0 (0.0)	0.79 (0.08)	0.6 (0.31)	0.0 (0.0)	0.94 (0.01)	0.74 (0.19)	0.2 (0.45)	0.94 (0.01)	0.72 (0.13)	0.0 (0.0)	0.93 (0.01)	0.64 (0.21)	0.0 (0.0)	0.73 (0.05)	0.6 (0.29)	0.0 (0.0)	0.89 (0.02)	0.74 (0.19)	0.2 (0.45)	0.93 (0.01)	0.74 (0.13)	0.0 (0.0)	0.89 (0.02)	0.7 (0.16)	0.0 (0.0)	0.86 (0.14)	0.58 (0.34)	0.2 (0.45)	0.95 (0.02)	0.69 (0.17)	0.0 (0.0)	0.94 (0.01)	0.73 (0.12)	0.0 (0.0)	0.94 (0.03)	0.56 (0.34)	0.2 (0.45)	0.77 (0.05)	0.58 (0.27)	0.0 (0.0)	0.93 (0.01)	0.74 (0.13)	0.0 (0.0)	0.93 (0.01)	0.74 (0.13)	0.0 (0.0)	0.93 (0.01)	0.74 (0.13)	0.0 (0.0)
Gram_positive	embedding_proba__6	16.84 (0.43)	0.6 (0.0)	0.0 (0.0)	14.52 (0.5)	0.6 (0.0)	0.0 (0.0)	2.32 (0.09)	0.6 (0.0)	0.0 (0.0)	0.92 (0.01)	0.54 (0.13)	0.0 (0.0)	0.78 (0.07)	0.56 (0.32)	0.2 (0.45)	0.93 (0.01)	0.54 (0.13)	0.0 (0.0)	0.93 (0.01)	0.56 (0.09)	0.0 (0.0)	0.93 (0.01)	0.56 (0.13)	0.0 (0.0)	0.72 (0.05)	0.56 (0.32)	0.2 (0.45)	0.88 (0.02)	0.54 (0.13)	0.0 (0.0)	0.92 (0.01)	0.56 (0.09)	0.0 (0.0)	0.88 (0.02)	0.58 (0.13)	0.0 (0.0)	0.83 (0.13)	0.48 (0.28)	0.0 (0.0)	0.95 (0.02)	0.54 (0.21)	0.0 (0.0)	0.93 (0.01)	0.55 (0.13)	0.0 (0.0)	0.94 (0.02)	0.46 (0.26)	0.0 (0.0)	0.76 (0.06)	0.56 (0.32)	0.2 (0.45)	0.92 (0.01)	0.54 (0.11)	0.0 (0.0)	0.92 (0.01)	0.56 (0.09)	0.0 (0.0)	0.92 (0.01)	0.54 (0.11)	0.0 (0.0)
Gram_positive	embedding_proba__7	19.69 (0.61)	0.7 (0.0)	0.0 (0.0)	17.05 (0.66)	0.7 (0.0)	0.0 (0.0)	2.64 (0.06)	0.7 (0.0)	0.0 (0.0)	0.92 (0.01)	0.58 (0.22)	0.0 (0.0)	0.79 (0.06)	0.54 (0.27)	0.0 (0.0)	0.93 (0.01)	0.57 (0.28)	0.0 (0.0)	0.93 (0.01)	0.62 (0.29)	0.2 (0.45)	0.93 (0.02)	0.6 (0.29)	0.0 (0.0)	0.72 (0.05)	0.56 (0.28)	0.0 (0.0)	0.88 (0.02)	0.57 (0.28)	0.0 (0.0)	0.93 (0.01)	0.6 (0.25)	0.0 (0.0)	0.88 (0.02)	0.58 (0.24)	0.0 (0.0)	0.88 (0.12)	0.6 (0.33)	0.0 (0.0)	0.95 (0.01)	0.56 (0.3)	0.0 (0.0)	0.93 (0.02)	0.6 (0.3)	0.2 (0.45)	0.94 (0.03)	0.58 (0.31)	0.0 (0.0)	0.77 (0.04)	0.56 (0.28)	0.0 (0.0)	0.92 (0.01)	0.59 (0.22)	0.0 (0.0)	0.93 (0.01)	0.6 (0.25)	0.0 (0.0)	0.92 (0.01)	0.59 (0.22)	0.0 (0.0)
Gram_positive	embedding_proba__8	21.9 (0.26)	0.8 (0.0)	0.0 (0.0)	18.83 (0.29)	0.8 (0.0)	0.0 (0.0)	3.07 (0.14)	0.82 (0.04)	0.0 (0.0)	0.92 (0.02)	0.54 (0.32)	0.2 (0.45)	0.79 (0.04)	0.54 (0.27)	0.0 (0.0)	0.93 (0.02)	0.55 (0.34)	0.2 (0.45)	0.92 (0.02)	0.5 (0.35)	0.2 (0.45)	0.93 (0.02)	0.54 (0.33)	0.2 (0.45)	0.72 (0.03)	0.56 (0.21)	0.0 (0.0)	0.88 (0.03)	0.55 (0.34)	0.2 (0.45)	0.92 (0.02)	0.5 (0.35)	0.2 (0.45)	0.88 (0.03)	0.54 (0.34)	0.2 (0.45)	0.89 (0.1)	0.64 (0.32)	0.2 (0.45)	0.95 (0.02)	0.68 (0.38)	0.4 (0.55)	0.93 (0.02)	0.51 (0.34)	0.2 (0.45)	0.95 (0.02)	0.66 (0.26)	0.2 (0.45)	0.76 (0.03)	0.52 (0.26)	0.0 (0.0)	0.92 (0.02)	0.53 (0.33)	0.2 (0.45)	0.92 (0.02)	0.5 (0.35)	0.2 (0.45)	0.92 (0.02)	0.53 (0.33)	0.2 (0.45)
Gram_positive	embedding_proba__9	23.68 (0.41)	0.9 (0.0)	0.0 (0.0)	20.4 (0.46)	0.9 (0.0)	0.0 (0.0)	3.28 (0.09)	0.88 (0.04)	0.0 (0.0)	0.92 (0.02)	0.55 (0.37)	0.2 (0.45)	0.77 (0.07)	0.46 (0.35)	0.0 (0.0)	0.93 (0.02)	0.5 (0.32)	0.0 (0.0)	0.93 (0.02)	0.54 (0.34)	0.2 (0.45)	0.92 (0.02)	0.5 (0.33)	0.0 (0.0)	0.71 (0.06)	0.48 (0.38)	0.0 (0.0)	0.87 (0.03)	0.5 (0.32)	0.0 (0.0)	0.92 (0.02)	0.56 (0.32)	0.2 (0.45)	0.87 (0.03)	0.5 (0.32)	0.0 (0.0)	0.83 (0.13)	0.38 (0.28)	0.0 (0.0)	0.94 (0.01)	0.36 (0.29)	0.0 (0.0)	0.93 (0.02)	0.55 (0.33)	0.2 (0.45)	0.93 (0.03)	0.48 (0.38)	0.0 (0.0)	0.78 (0.1)	0.5 (0.41)	0.2 (0.45)	0.92 (0.02)	0.57 (0.32)	0.2 (0.45)	0.92 (0.02)	0.56 (0.32)	0.2 (0.45)	0.92 (0.02)	0.57 (0.32)	0.2 (0.45)
